,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000101255.15,523.019936763013,3.87778592825577,0.232018540868883,16.7132588358409,1.04940479497114e-62,1.07605967676341e-58
ENSG00000163430.15,2412.23122314914,-1.93669152332017,0.149061233905954,-12.9925901763437,1.34786867741027e-38,6.91052270908243e-35
ENSG00000122786.22,1025.11321526629,-2.11990427986803,0.169735915289781,-12.4894267441798,8.52657850412963e-36,2.91438453271151e-32
ENSG00000106484.17,376.074424034684,-2.89421084106694,0.245623623339763,-11.7831127222786,4.7698477542049e-32,1.22275047179043e-28
ENSG00000044574.11,5154.68905436709,1.7582844437536,0.151770837055097,11.5851271421485,4.90238666874667e-31,9.51577078645429e-28
ENSG00000163661.6,137.852391890838,4.46790632888048,0.386022498507822,11.5742122444968,5.56803439815933e-31,9.51577078645429e-28
ENSG00000070669.19,256.675375516168,2.78142106554431,0.247523578343103,11.236994407413,2.68364176966241e-29,3.53848925996714e-26
ENSG00000113083.17,1000.76081207418,2.07108779930191,0.184350765305023,11.2344952616558,2.76067038031374e-29,3.53848925996714e-26
ENSG00000113739.12,688.254299538131,2.0280450334364,0.186982962330841,10.8461488049807,2.08006065775528e-27,2.36988244273585e-24
ENSG00000075624.19,5521.46170067043,-1.44879110738484,0.140564725648468,-10.3069322740903,6.55607045550758e-25,6.72259464507748e-22
ENSG00000145632.17,1636.02387587727,-1.66532017979995,0.163505407176394,-10.1851076888446,2.31103873259182e-24,2.15430828763604e-21
ENSG00000184009.15,5385.02710621072,-1.67314863356331,0.164517723481095,-10.1700205799138,2.69851647426299e-24,2.30588232725772e-21
ENSG00000196611.7,106.804801282451,6.50104531198568,0.644100141865909,10.0932213633002,5.91944049938195e-24,4.66907252928173e-21
ENSG00000035403.20,549.699989466317,-1.92409196289172,0.191431307690391,-10.0510830025966,9.08632818572367e-24,6.65508637260075e-21
ENSG00000092969.13,344.593933158155,-2.28050421885682,0.229177549155603,-9.95081860007347,2.50117240644607e-23,1.70980145704653e-20
ENSG00000214517.12,1611.33285503623,-1.64111966165322,0.166377129436668,-9.86385368716146,5.97125855024399e-23,3.82683032338762e-20
ENSG00000051108.17,529.877196829935,1.92125648720118,0.199376992121063,9.63629988978157,5.6176431995339e-22,3.38843019811886e-19
ENSG00000135919.16,439.595927310324,2.13797720934713,0.22276138023009,9.59761161085829,8.1818311077024e-22,4.49028214891399e-19
ENSG00000293352.2,86.9453326781624,5.74548626562624,0.598744960486177,9.59588246214371,8.32020292855137e-22,4.49028214891399e-19
ENSG00000111371.18,566.954943594089,1.79615833900085,0.191737770680356,9.36778566177869,7.40701240683292e-21,3.79757526098324e-18
ENSG00000186480.15,911.636197991517,-1.77154254862172,0.190551161597644,-9.29693912001648,1.44546940314541e-20,7.05802059993003e-18
ENSG00000144810.18,338.857404303688,-2.31234133172121,0.249532431987802,-9.2666965704652,1.92000275551769e-20,8.94895829776291e-18
ENSG00000168003.21,670.971040424799,1.71929142112325,0.186394100731433,9.22395834619524,2.86330302008007e-20,1.27653518121309e-17
ENSG00000125148.9,227.034824236141,2.61552879908814,0.284105649801705,9.20618368875693,3.37925913823443e-20,1.44378846681066e-17
ENSG00000087086.18,3162.49976722312,1.56685320550035,0.174686596792809,8.96951016430156,2.97835982759098e-19,1.22160406688472e-16
ENSG00000182199.13,703.557516941465,1.55937927344085,0.174103599511666,8.95661708209751,3.34791905065257e-19,1.32036776713044e-16
ENSG00000242265.6,416.057361502641,-1.91772575047041,0.217470357033094,-8.81833173326963,1.16177627152332e-18,4.4121681067408e-16
ENSG00000108821.16,1494.99270754786,-1.37652517303291,0.1571983824097,-8.75661156261346,2.01207572974733e-18,7.3685087617247e-16
ENSG00000116133.15,2463.49900428792,-1.34235062393721,0.155532668846848,-8.6306666881606,6.09953905592093e-18,2.15671287860046e-15
ENSG00000135069.16,819.269118287664,1.46497725485962,0.171121421507208,8.56103953529812,1.11854337395749e-17,3.82318125218672e-15
ENSG00000165072.12,210.300768696232,-2.45167060001415,0.288383992945855,-8.50141013365624,1.87301348092362e-17,6.19544523657767e-15
ENSG00000113161.19,500.123790718962,-1.68704823788554,0.200187398737715,-8.42734482051944,3.53596730696004e-17,1.13305652392401e-14
ENSG00000126878.15,204.195462084046,-2.49470778668204,0.297103647479819,-8.39675920455165,4.58969901960095e-17,1.42614465899964e-14
ENSG00000011426.13,607.868189728964,-1.55792968493646,0.186473565070872,-8.35469458818115,6.56022221669403e-17,1.97848584147002e-14
ENSG00000175197.14,152.155221555053,2.55112539252637,0.305590249155003,8.34818977235224,6.93171371579158e-17,2.03079406976362e-14
ENSG00000120437.11,730.241871656971,-1.48473206161031,0.18004035138739,-8.24666276292495,1.62879237496806e-16,4.63934361470069e-14
ENSG00000140941.16,525.947081087196,1.69861289961396,0.206341414392404,8.232050287218,1.84035960753418e-16,5.1002830853123e-14
ENSG00000011422.14,160.167385400958,2.38075818296045,0.289620681017445,8.22026305095611,2.03057300047934e-16,5.33884501202952e-14
ENSG00000161011.22,665.455858098816,1.54128940844703,0.187431477012444,8.22321540124609,1.98118547199019e-16,5.33884501202952e-14
ENSG00000137309.23,997.011748088493,1.45162754176044,0.182946439323305,7.93471328072754,2.10982161264072e-15,5.40852770400449e-13
ENSG00000105974.15,1421.34108547175,-1.22527398640784,0.155112418066822,-7.89926429926454,2.80554419866729e-15,7.01659761295961e-13
ENSG00000109084.15,366.596840040917,-1.84699311050322,0.237194955699063,-7.78681445842616,6.8719751544225e-15,1.67774364841544e-12
ENSG00000130066.18,238.258234001404,1.95659886852439,0.253805430513492,7.70905045083496,1.26757301100424e-14,3.02271945461338e-12
ENSG00000087074.11,531.733500852824,1.72578774672726,0.224077321620731,7.70175104845417,1.34214177154649e-14,3.12780039214493e-12
ENSG00000177469.15,280.374678078997,-2.33499477421401,0.304764166608677,-7.66164474057803,1.83566838514685e-14,4.18287636028796e-12
ENSG00000154096.16,681.767469078788,-1.39463587132208,0.182449271108586,-7.64396515726312,2.10632427444136e-14,4.69527154567862e-12
